text	root	ending	clitic	partofspeech	form
Kukele	Kukele	0		H	sg n
Mango	Mango	0		H	sg n
Tover	Tover	0		H	sg n
teedvat	tead	vat		V	vat
Pastakule	Pastakule	0		H	sg n
Johan	Johan	0		H	sg n
Lange	Lange	0		H	sg n
i	i	0		Y	?
se	see	0		P	sg n
koolmisen	kool=mine	n		S	sg in
kõvaste	kõvasti	0		D	
Kodijärve	Kodijärve	0		H	sg n
Ants	Ants	0		H	sg n
Nielbo	Nielbe	0		H	sg n
Balti	Balti	0		H	sg n
teedvad	tead	vad		V	vat
Sohnberg	Sohnberg	0		H	sg n
Võsso	Võsso	0		H	sg n
Latsepal	Latsepal	0		H	sg n
Tomsonil	Tomson	l		H	sg ad
T.	T.	0		Y	sg n
Kohtole	Kohtole	0		H	sg n
Leppiko	Leppik	0		H	sg g
Vidrik	Vidrik	0		H	sg n
Domaineu	Domaineu	0		H	sg n
Tunistap	Tunistap	0		H	sg n
Lepi	Lepi	0		H	sg n
Pügile	Pügile	0		H	sg n
Lipardi	Lipardi	0		H	sg n
Armsohn	Armsohn	0		H	sg n
Villem	Villem	0		H	sg n
Ketnerile	Ketner	le		H	sg all
Frisch	Frisch	0		H	sg n
Lombile	Lomb	le		H	sg all
Lepiko	Lepik	0		H	sg g
Lillberg	Lillberg	0		H	sg n
Pastakul	Pastako	l		H	sg ad
Zirkule	Zirkule	0		H	sg n
Kõrdsist	Kõrdsist	0		H	sg n
Asmusest	Asmusse	t		H	sg p
J.	J.	0		Y	sg n
Essa	Essa	0		H	sg n
Vöörusen	Vöörusen	0		H	sg n
Klein	Klein	0		H	sg n
vandu	vandu	0		V	da
Poolake	Poolake	0		H	sg n
Siemon	Siemon	0		H	sg n
Kotkas	Kotkas	0		H	sg n
kedas	kes	das		P	sg p
Vanast	Vanast	st		H	sg n
Kalliperraga	Kallipera	ga		H	sg kom
Leppiku	Leppik	0		H	sg g
Reinvaldi	Reinvaldi	0		H	sg n
Eenkirja	Eenkirja	0		H	sg n
Laure	Laur	e		H	sg g
Rüki	Rüki	0		H	sg n
valitsusele	valitsuse	le		H	sg all
perrast	pärast	0		K	
Andres	Andres	0		H	sg n
nema	tema	0		P	pl n
kül	küll	0		D	
Kallosel	Kallas	l		H	sg ad
saisvat	seis	vat		V	vat
Harmsohn	Harmson	0		H	sg g
Kukel	Kukel	0		H	sg n
Vatko	Vatko	0		H	sg n
Tigasega	Tigane	ga		H	sg kom
Kirjotus	kirjutus	0		S	sg n
Soonberg	Soonberg	0		H	sg n
Märtina	Märtin	0		H	sg g
Sand	Sand	0		H	sg n
Eenok	Eenok	0		H	sg n
Endrik	Endrik	0		H	sg n
Febroaris	Febroaris	0		H	sg n
Tütter	Tütter	0		H	sg n
Contract	Contract	0		H	sg n
tullu	tule	u		V	nud
Soosaar	Soosaar	0		H	sg n
Vöölmündri	Vöölmündri	0		H	sg n
hendal	ise	l		P	sg ad
Kopsu	Kops	0		H	sg g
Condratist	kontraht	st		S	sg el
Kriisa	Kriisa	0		H	sg n
üttelnu	ütle	nu		V	nud
Hendriko	Hendrik	0		H	sg g
tem	tema	0		P	sg n
Jaska	Jaska	0		H	sg n
Kukk	Kukk	0		H	sg n
Püggi	Püggi	0		H	sg n
Sautrel	Sauter	l		H	sg ad
Vares	Vares	0		H	sg n
Pangodist	Pangodist	st		H	sg n
Kustav	Kustav	0		H	sg n
ul	ul	0		Y	?
November	November	0		H	sg n
Mölder	Möldre	0		H	sg n
Tiilikol	Tiilik	l		H	sg ad
Kopsul	Kops	l		H	sg ad
Eidemann	Eidemann	0		H	sg n
Kolbergtema	Kolberg	0		H	sg g
Püssa	Püssa	0		H	sg n
Jacob	Jacob	0		H	sg n
üttelden	ütle	den		V	des
Kukke	Kukk	0		H	sg g
Kiigel	Kiigel	0		H	sg n
Domainea	Domaineu	0		H	sg n
Kääni	Kääni	0		H	sg n
nink	ning	0		J	
Paas	Paas	0		H	sg n
ütten	ühes	0		D	
Kolberg	Kolberg	0		H	sg n
Vaimelt	Vaimelt	0		H	sg n
K	K	0		Y	sg n
Leena	Leena	0		H	sg n
Kreiskohus	Kreiskohus	0		H	sg n
kõrd	kord	0		S	sg n
Tõno	Tõno	0		H	sg n
Dombergil	Domber	l		H	sg ad
vallavanemb	valla_vanem	0		S	sg n
Jaskat	Jaska	t		H	sg p
u	u	0		Y	?
Räkan	Räkan	0		H	sg n
tetta	tege	a		V	da
Leendok	Leendok	0		H	sg n
Hindriko	Hindrik	0		H	sg g
Nr	Nr	0		Y	sg n
Normanni	Normanni	0		H	sg n
