text	root	ending	clitic	partofspeech	form
Viedleri	Viedler	0		H	sg g
Bensa	Bensa	0		H	sg n
Lovisa	Lovisa	0		H	sg n
Villem	Villem	0		H	sg n
tahtna	taht	na		V	nud
Koppa	Koppa	0		H	sg n
Jüri	Jüri	0		H	sg n
lähnud	mine	nud		V	nud
Kaariku	Kaariku	0		H	sg n
valla	valla	0		H	sg n
Liivakule	Liivak	le		H	sg all
Märdi	Märdi	0		H	sg n
Birk	Birk	0		H	sg n
Puna	Puna	0		H	sg n
Trusi	Trusi	0		H	sg n
Lööprele	Lööper	le		H	sg all
lükkanui	lükka	nui		V	nud
Kahliga	Kahl	ga		H	sg kom
Lamge	Lamge	0		H	sg n
Veedleri	Veedler	0		H	sg g
Blaubriku	Blaubrik	0		H	sg g
Vuksi	Vuks	0		H	sg g
Birn	Birn	0		H	sg n
Möisnikul	Möisnik	l		H	sg ad
Karepera	Karepera	0		H	sg n
Jarl	Jarl	0		H	sg n
üürinuvad	üüri	nuvad		V	nuvad
kül	küll	0		D	
annud	and	nud		0	nud
vöttan	võt	n		V	n
Saarveltsi	Saar	0		H	sg g
Priksile	Priks	le		H	sg all
Arandile	Arand	le		H	sg all
Kadri	Kadri	0		H	sg n
Miina	Miina	0		H	sg n
Vare	Vare	0		H	sg n
Reinu	Reinu	0		H	sg n
Reiman	Reiman	0		H	sg n
jures-olnuvad	juures_ole	nuvad		V	nuvad
Briks	Briks	0		H	sg n
Väljaotsalt	Väljaots	t		H	sg p
Märks	Märks	0		H	sg n
Kablitse	Kablits	0		H	sg g
Birkil	Birkil	0		H	sg n
Küünla	Küünla	0		H	sg n
Rosenthal	Rosenthal	0		H	sg n
Uus	Uus	0		H	sg n
tulnuvad	tule	nuvad		V	nuvad
Vanriku	Vanriku	0		H	sg n
Herman	Herman	0		H	sg n
Veedlerile	Veedler	le		H	sg all
Jacob	Jacob	0		H	sg n
linnas	linnas	s		H	sg n
Kukke	Kukk	0		H	sg g
Juhab	Juhan	0		H	sg n
Hirschi	Hirsch	0		H	sg g
kopmann	opman	0		S	sg n
Kahja	Kahja	0		H	sg n
Staupile	Staupile	0		H	sg n
Birnil	Birn	l		H	sg ad
Pirk	Pirk	0		H	sg n
Joh	Joh	0		H	sg n
sanuvad	saa	nuvad		V	nuvad
olnuvad	ole	nuvad		V	nuvad
C.	C.	0		Y	sg n
Hirsh	Hirsh	0		H	sg n
Lübeku	Lübek	0		H	sg g
nöudnud	nõud	nud		V	nud
Lübekiga	Lübek	ga		H	sg kom
K	K	0		Y	sg n
Birkule	Birk	le		H	sg all
Trikkandiga	Trikkandiga	0		H	sg n
