text	root	ending	clitic	partofspeech	form
Alleksei	Alleksei	0		H	sg n
Erkuni	Erkuni	0		H	sg n
Vesmanile	Vesman	le		H	sg all
lahkri	lähker	0		S	sg g
öle	õlg	0		S	sg g
Seemale	Seema	le		H	sg all
ölle	õlu	0		S	adt
ölle	õlu	0		S	sg g
Alveurt	Alveur	t		H	sg p
kuho	kuhu	0		D	
Silemi	Silemi	0		H	sg n
Kadariko	Kadariko	0		H	sg n
Arrisaare	Arrisaare	0		H	sg n
Tunistas	Tunistas	0		H	sg n
Kurgvellil	Kurgvel	l		H	sg ad
kauva	kaua	0		D	
Kägi	Kägi	0		H	sg n
Petsi	Petsi	0		H	sg n
muretsend	muretse	nud		V	nud
muretsend	muretse=nu	d		S	pl n
muretsend	muretse=nud	0		A	
muretsend	muretse=nud	0		A	sg n
muretsend	muretse=nud	d		A	pl n
peäl	peal	0		K	
Vötting	Vötting	0		H	sg n
Prantses	Prantses	0		H	sg n
Alvease	Alveas	0		H	sg g
sab	saa	b		V	b
Tambu	Tambu	0		H	sg n
protokolis	protokoll	s		S	sg in
pöhk	põhk	0		S	sg n
Madise	Madise	0		H	sg n
osto	ost	0		S	adt
osto	ost	0		S	sg g
osto	ost	0		S	sg p
Stepan	Stepan	0		H	sg n
herra	härra	0		S	sg g
Alekseid	Aleksei	d		H	sg g
möned	mõni	d		P	pl n
Ekadarina	Ekadarina	0		H	sg n
Tivitile	Tivit	le		H	sg all
keelmata	keela	mata		V	mata
augo	auk	0		S	sg g
pitko	pikk	0		A	sg g
Toomas	Toomas	0		H	sg n
Kiril	Kiril	0		H	sg n
kaero	kaer	u		S	pl p
Orinõmme	Orinömme	0		H	sg n
Feodor	Feodor	0		H	sg n
Peeter	Peeter	0		H	sg n
Nalkini	Nalkin	0		H	sg g
Ahvener	Ahvener	0		H	sg n
Orjok	Orjok	0		H	sg n
I-se	I-se	0		Y	sg n
Valla	Valla	0		H	sg n
vallas	vallas	s		H	sg n
Erina	Erina	0		H	sg n
Eljar	Eljar	0		H	sg n
Liivi	Liivi	0		H	sg n
Jurkotam	Jurkotam	0		H	sg n
Raavelli	Raavel	0		H	sg g
Saaveti	Saavet	0		H	sg g
Pae	Pae	0		H	sg n
Völlise	Völlise	0		H	sg n
ölut	õlu	t		S	sg p
töe	tõde	0		S	sg g
töe	tõsi	0		S	sg g
linnast	linnast	st		H	sg n
Melanja	Melanja	0		H	sg n
Tatjana	Tatjana	0		H	sg n
Toovlile	Toovel	le		H	sg all
kuha	koht	0		S	sg g
Tonu	Tonu	0		H	sg n
Mihail	Mihail	0		H	sg n
Tinnuri	Tinnuri	0		H	sg n
K.	K.	0		Y	sg n
Reina	Reina	0		H	sg n
Kärs	Kärs	0		H	sg n
Vihelbu	Vihelbu	0		H	sg n
Toomajaani	Toomajaani	0		H	sg n
köiki	kõik	0		P	pl p
lökanud	lõkka	nud		V	nud
lökanud	lõka=nu	d		S	pl n
lökanud	lõka=nud	0		A	
lökanud	lõka=nud	0		A	sg n
lökanud	lõka=nud	d		A	pl n
Löhmus	Löhmus	0		H	sg n
Järmut	Järmut	0		H	sg n
pohk	põhk	0		S	sg n
Jesnovi	Jesnovi	0		H	sg n
Herma	Herma	0		H	sg n
A.	A.	0		Y	sg n
Sagavere	Sagavere	0		H	sg n
Oed	õde	d		S	pl n
Luksil	Luks	l		H	sg ad
Vaga	Vaga	0		H	sg n
Vatting	Vatting	0		H	sg n
Tönno	Tönno	0		H	sg n
vöib	või	b		V	b
völale	võlg	le		S	sg all
veike	väike	0		A	sg n
Riimi	Riimi	0		H	sg n
Andsul	Andsul	0		H	sg n
Kusto	Kusto	0		H	sg n
kodund	kodunt	0		D	
küla	küla	0		H	sg n
nöudis	nõud	is		V	s
Zögeverri	Zögever	0		H	sg g
Tiitmale	Tiitma	le		H	sg all
Marju	Marju	0		H	sg n
Arrinõmme	Arrinõmme	0		H	sg n
luband	luba	nud		V	nud
luband	luba=nu	d		S	pl n
luband	luba=nud	0		A	
luband	luba=nud	0		A	sg n
luband	luba=nud	d		A	pl n
Arritase	Arritase	0		H	sg n
öigeks	õige	ks		A	sg tr
öigus	õigus	0		S	sg n
Poling	Poling	0		H	sg n
tunistasid	tunnista	sid		V	sid
vötsid	võt	sid		V	sid
luisko	luisk	0		S	adt
luisko	luisk	0		S	sg p
öemehe	õe_mees	0		S	sg g
kinitanud	kinnita	nud		V	nud
puumaa	puumaa	0		H	sg n
Ekatarina	Ekatarina	0		H	sg n
vötab	võt	b		V	b
Lembri	Lembri	0		H	sg n
igedega	ike	dega		S	pl kom
paralt	päralt	0		K	
Puole	pool	0		S	sg g
iso	isu	0		S	sg g
iso	isu	0		V	o
iso	isu	0		S	sg n
iso	isu	0		S	sg p
Kuke	Kuke	0		H	sg n
kiriko	kirik	0		S	sg g
Holmbergi	Holmberg	0		H	sg g
Melanjad	Melanja	d		H	sg g
Antoni	Antoni	0		H	sg n
jöuga	jõud	ga		S	sg kom
Vakause	Vakaus	0		H	sg g
Vallisel	Vallisel	0		H	sg n
Pahilo	Pahilo	0		H	sg n
Vöttinga	Vöttinga	0		H	sg n
Vaeste	Vaeste	te		H	sg n
Titmaga	Titma	ga		H	sg kom
Lemberi	Lembri	0		H	sg g
Aleksandrile	Aleksandrile	le		H	sg n
Semale	Sema	le		H	sg all
käso	käsk	0		S	sg g
Titma	Titma	0		H	sg n
Tönna	Tönna	0		H	sg n
oed	õde	d		S	pl n
Viil	Viil	0		H	sg n
pitk	pikk	0		A	sg n
Ekatrina	Ekatrina	0		H	sg n
völast	võlg	st		S	sg el
Kätsa	Kätsa	0		H	sg n
Mart	Mart	0		H	sg n
A.Jurkatom	A.Jurkatom	0		H	sg n
vöi	või	0		S	sg g
vöi	või	0		V	o
vöi	või	0		D	
vöi	või	0		J	
vöi	või	0		S	sg n
Martin	Martin	0		H	sg n
Ann	Ann	0		H	sg n
Jurkatom	Jurkatom	0		H	sg n
Neiupile	Neiup	le		H	sg all
Veador	Veador	0		H	sg n
löönd	löö	nud		V	nud
löönd	löö=nu	d		S	pl n
löönd	löö=nud	0		A	
löönd	löö=nud	0		A	sg n
löönd	löö=nud	d		A	pl n
Vald	Vald	0		H	sg n
Ekatrinad	Ekatrina	d		H	sg g
Raavel	Raavel	l		H	sg n
keiserliko	keiserlik	0		A	sg g
önnetuse	õnnetus	0		S	sg g
Tivitele	Tivit	le		H	sg all
sönadega	sõna	dega		S	pl kom
Rakki	Rakki	0		H	sg n
Zogever	Zogever	0		H	sg n
Ivan	Ivan	0		H	sg n
esimine	esimene	0		O	sg n
pöld	põld	0		S	sg n
kerstu	kirst	0		S	sg g
keeldo	keeld	0		S	adt
keeldo	keeldu	0		V	o
keeldo	keeld	0		S	sg p
riststud	risti	tud		V	tud
järrele	järele	0		K	
Olerid	Oler	d		H	sg g
Peiter	Peiter	0		H	sg n
makso	maks	0		S	adt
makso	maks	0		S	sg g
makso	maks	u		S	pl p
makso	maks	0		S	sg p
Ivani	Ivani	0		H	sg n
Tilga	Tilga	0		H	sg n
Raveli	Raveli	0		H	sg n
pörsa	põrsas	0		S	sg g
Tilk	Tilk	0		H	sg n
Tönul	Tönu	l		H	sg ad
Orunöme	Orunöme	0		H	sg n
keelnud	keela	nud		V	nud
Nöukas	Nöukas	0		H	sg n
Tivit	Tivit	0		H	sg n
Tönnu	Tönnu	0		H	sg n
hango	hang	0		S	adt
hango	hang	0		S	sg g
hango	hangu	0		V	o
hango	hang	0		S	sg p
luterusse	luteri	0		G	
Seemaga	Seema	ga		H	sg kom
koho	kohu	0		V	o
Prido	Prido	0		H	sg n
Tagavere	Tagavere	0		H	sg n
Everdil	Evert	l		H	sg ad
Ivanil	Ivan	l		H	sg ad
tein	tege	n		V	nud
Priidole	Priido	le		H	sg all
ülevel	üleval	0		D	
Arnus	Arnus	0		H	sg n
Arnusele	Arnus	le		H	sg all
Saare	Saare	0		H	sg n
Luksi	Luks	0		H	sg g
Mihkelsonil	Mihkeljan	l		H	sg ad
Neiup	Neiup	0		H	sg n
löhutud	lõhku	tud		V	tud
löhutud	lõhu=tu	d		S	pl n
löhutud	lõhu=tud	0		A	
löhutud	lõhu=tud	0		A	sg n
löhutud	lõhu=tud	d		A	pl n
Seemal	Seema	l		H	sg ad
Vättinge	Vätting	0		H	sg g
tösta	tõst	0		V	o
tösta	tõst	a		V	da
Eva	Eva	0		H	sg n
kiho	kihk	0		S	sg g
kiho	kihu	0		S	sg g
kiho	kihu	0		S	sg n
kiho	kihu	0		S	sg p
Kaarel	Kaarel	0		H	sg n
söna	sõna	0		S	sg g
söna	sõna	0		V	o
söna	sõna	0		S	sg n
söna	sõna	0		S	sg p
Ratturil	Ratturil	l		H	sg n
lamast	lammas	t		S	sg p
Niits	Niits	0		H	sg n
Oleri	Oler	0		H	sg g
Rang	Rang	0		H	sg n
möistusega	mõistus	ga		S	sg kom
pöluks	põlg	ks		S	sg tr
Järveküla	Järve	0		H	sg g
pöllu	põld	0		S	sg g
Vällis	Vällis	0		H	sg n
Lesnovi	Lesnovi	0		H	sg n
Palti	Palti	0		H	sg n
