text	root	ending	clitic	partofspeech	form
löönod	löö=nud	0		A	
löönod	löö=nud	0		A	sg n
löönod	löö=nud	d		A	pl n
jakko	jagu	0		S	adt
läind	mine	nd		V	nud
Rulli	Rull	0		H	sg g
jo	ju	0		D	
Koikkülast	Koikkülast	st		H	sg n
Johan	Johan	0		H	sg n
Avik	Avik	0		H	sg n
Kadri	Kadri	0		H	sg n
Andres	Andres	0		H	sg n
Tonistasid	Tonistasid	d		H	sg n
Tuuliko	Tuuliko	0		H	sg n
Peterson	Peterson	0		H	sg n
Käossar	Käossar	0		H	sg n
rah	rah			Y	
Kukk	Kukk	0		H	sg n
Tuul	Tuul	0		H	sg n
Ronimus	Ronimus	0		H	sg n
Lilliorg	Lilliorg	0		H	sg n
Polkus	Polkus	0		H	sg n
Kanepimae	Kanepimae	0		H	sg n
E.	E.	0		Y	sg n
raisanod	raiska	nud		V	nud
raisanod	raisa=nu	d		S	pl n
raisanod	raisa=nud	0		A	
raisanod	raisa=nud	0		A	sg n
raisanod	raisa=nud	d		A	pl n
Tautsile	Tauts	le		H	sg all
Karreni	Karreni	0		H	sg n
Ronnimuse	Ronnimus	0		H	sg g
Kooleri	Kooleri	0		H	sg n
Mustla	Mustla	0		H	sg n
Kustenberg	Kustenberg	0		H	sg n
Orava	Orava	0		H	sg n
Joh	Joh	0		H	sg n
Pauskile	Pausk	le		H	sg all
paljo	palju	0		D	
Ronnimis	Ronnimis	0		H	sg n
Riibo	riibu	0		V	o
Jak	Jak	0		H	sg n
Võisiku	Võisiku	0		H	sg n
Ritsing	Ritsing	0		H	sg n
saand	saa	nd		V	nud
Kasper	Kasper	0		H	sg n
kuho	kuhu	0		D	
Arosson	Arosson	0		H	sg n
Tölp	Tölp	0		H	sg n
Tikossoni	Tikossoni	0		H	sg n
Holstrest	Holstrest	0		H	sg n
Karrago	Karrago	0		H	sg n
Jõgi	Jõgi	0		H	sg n
Räbo	Räbo	0		H	sg n
Mumi	Mumi	0		H	sg n
Tuksamile	Tuksam	le		H	sg all
sõido	sõit	0		S	sg g
kännod	känd	d		S	pl n
võind	või	nud		V	nud
võind	või=nu	d		S	pl n
võind	või=nud	0		A	
võind	või=nud	0		A	sg n
võind	või=nud	d		A	pl n
jaamavalitsuse	jaamavalitsuse	0		H	sg n
juhatand	juhata	nd		V	nud
ähvardanod	ähvarda	nud		V	nud
ähvardanod	ähvarda=nu	d		S	pl n
ähvardanod	ähvarda=nud	0		A	
ähvardanod	ähvarda=nud	0		A	sg n
ähvardanod	ähvarda=nud	d		A	pl n
mino	mina	0		P	sg g
Saare	Saare	0		H	sg n
